x,y,z
765000.0,5732000.0,3400.2
766000.0,5732000.0,3405.49
764000.0,5731000.0,3589.21
765000.0,5731000.0,3582.96
766000.0,5731000.0,3406.4800000000005
769000.0,5731000.0,3418.2299999999996
775000.0,5731000.0,3427.0600000000004
776000.0,5731000.0,3428.58
777000.0,5731000.0,3437.0
895000.0,5731000.0,3975.5299999999997
762000.0,5730000.0,3926.71
763000.0,5730000.0,3856.0699999999997
764000.0,5730000.0,3769.3
765000.0,5730000.0,3680.5
766000.0,5730000.0,3597.0
767000.0,5730000.0,3393.8
768000.0,5730000.0,3411.71
769000.0,5730000.0,3422.0499999999997
775000.0,5730000.0,3424.21
776000.0,5730000.0,3438.25
777000.0,5730000.0,3435.4
778000.0,5730000.0,3438.5
896000.0,5730000.0,3955.4399999999996
755000.0,5729000.0,4302.150000000001
756000.0,5729000.0,4332.62
757000.0,5729000.0,4045.87
758000.0,5729000.0,3900.26
759000.0,5729000.0,3830.68
762000.0,5729000.0,4049.09
763000.0,5729000.0,3914.3
764000.0,5729000.0,3967.2000000000003
765000.0,5729000.0,3840.9000000000005
766000.0,5729000.0,3698.2999999999997
767000.0,5729000.0,3625.6
768000.0,5729000.0,3520.4399999999996
769000.0,5729000.0,3392.7
771000.0,5729000.0,3419.6
772000.0,5729000.0,3418.7200000000003
774000.0,5729000.0,3419.98
775000.0,5729000.0,3429.83
776000.0,5729000.0,3436.0
777000.0,5729000.0,3446.9
778000.0,5729000.0,3438.2
780000.0,5729000.0,3461.12
886000.0,5729000.0,3992.9700000000003
895000.0,5729000.0,3885.84
896000.0,5729000.0,3762.6
754000.0,5728000.0,3977.1000000000004
755000.0,5728000.0,4053.4000000000005
756000.0,5728000.0,4204.6
757000.0,5728000.0,4306.8
758000.0,5728000.0,4134.9
759000.0,5728000.0,4048.65
760000.0,5728000.0,3978.92
761000.0,5728000.0,3856.2799999999997
762000.0,5728000.0,3702.9
763000.0,5728000.0,3856.8
764000.0,5728000.0,3831.3
765000.0,5728000.0,3760.7999999999997
766000.0,5728000.0,3700.2
767000.0,5728000.0,3633.2999999999997
768000.0,5728000.0,3459.5
769000.0,5728000.0,3541.1000000000004
770000.0,5728000.0,3413.8999999999996
771000.0,5728000.0,3425.97
772000.0,5728000.0,3427.04
773000.0,5728000.0,3428.42
774000.0,5728000.0,3439.3
775000.0,5728000.0,3430.0
776000.0,5728000.0,3432.0
777000.0,5728000.0,3445.1
778000.0,5728000.0,3448.5
779000.0,5728000.0,3464.06
780000.0,5728000.0,3518.04
781000.0,5728000.0,3464.15
885000.0,5728000.0,4018.12
886000.0,5728000.0,3974.6799999999994
887000.0,5728000.0,3972.24
895000.0,5728000.0,3925.99
754000.0,5727000.0,3978.25
755000.0,5727000.0,3998.8
756000.0,5727000.0,3956.5999999999995
757000.0,5727000.0,4082.7999999999997
758000.0,5727000.0,4030.7
759000.0,5727000.0,4031.3999999999996
760000.0,5727000.0,3909.3
761000.0,5727000.0,3871.1000000000004
762000.0,5727000.0,3821.5
763000.0,5727000.0,3632.4
764000.0,5727000.0,3681.5
765000.0,5727000.0,3595.6
766000.0,5727000.0,3535.1
767000.0,5727000.0,3556.8
768000.0,5727000.0,3570.2
769000.0,5727000.0,3507.0
770000.0,5727000.0,3476.3
771000.0,5727000.0,3426.5
772000.0,5727000.0,3429.8
773000.0,5727000.0,3436.5999999999995
774000.0,5727000.0,3434.4
775000.0,5727000.0,3412.2000000000003
776000.0,5727000.0,3436.3999999999996
777000.0,5727000.0,3442.3
778000.0,5727000.0,3450.7999999999997
779000.0,5727000.0,3435.2999999999997
