x,y,z
415000.0,5644000.0,7181.700000000001
415000.0,5643000.0,6244.8
416000.0,5643000.0,6625.0
417000.0,5643000.0,6917.799999999999
414000.0,5642000.0,6200.0
415000.0,5642000.0,5925.1
416000.0,5642000.0,5759.5
417000.0,5642000.0,6748.0
418000.0,5642000.0,6830.5
419000.0,5642000.0,7034.1
412000.0,5641000.0,7154.5
413000.0,5641000.0,6620.1
414000.0,5641000.0,5826.700000000001
415000.0,5641000.0,5469.1
416000.0,5641000.0,6011.900000000001
417000.0,5641000.0,5805.1
418000.0,5641000.0,6779.0
413000.0,5640000.0,6314.9
414000.0,5640000.0,6441.0
415000.0,5640000.0,5487.7
416000.0,5640000.0,5939.200000000001
417000.0,5640000.0,6165.699999999999
418000.0,5640000.0,6531.800000000001
413000.0,5639000.0,6412.5
414000.0,5639000.0,5888.8
415000.0,5639000.0,5180.4
416000.0,5639000.0,6244.700000000001
417000.0,5639000.0,5732.5
413000.0,5638000.0,5992.4
414000.0,5638000.0,5901.5
415000.0,5638000.0,5096.9
416000.0,5638000.0,5582.1
417000.0,5638000.0,5605.2
413000.0,5637000.0,5727.200000000001
414000.0,5637000.0,5413.0
415000.0,5637000.0,5471.3
416000.0,5637000.0,5984.0
417000.0,5637000.0,6428.9
418000.0,5637000.0,5738.8
412000.0,5636000.0,5760.4
413000.0,5636000.0,5402.0
414000.0,5636000.0,5315.0
415000.0,5636000.0,5970.1
416000.0,5636000.0,5923.5
417000.0,5636000.0,6297.9
418000.0,5636000.0,6118.8
419000.0,5636000.0,5394.9
420000.0,5636000.0,5686.5
421000.0,5636000.0,6163.6
413000.0,5635000.0,5708.199999999999
414000.0,5635000.0,6185.2
415000.0,5635000.0,5858.299999999999
416000.0,5635000.0,6347.200000000001
417000.0,5635000.0,6156.900000000001
418000.0,5635000.0,5396.6
419000.0,5635000.0,5380.4
420000.0,5635000.0,5283.0
421000.0,5635000.0,5506.900000000001
422000.0,5635000.0,5735.1
413000.0,5634000.0,5872.5
414000.0,5634000.0,5817.4
415000.0,5634000.0,5786.0
416000.0,5634000.0,6236.1
417000.0,5634000.0,5387.6
418000.0,5634000.0,5754.5
419000.0,5634000.0,5171.1
420000.0,5634000.0,5310.299999999999
421000.0,5634000.0,5844.5
422000.0,5634000.0,5792.1
410000.0,5633000.0,5386.5
411000.0,5633000.0,5616.2
412000.0,5633000.0,5795.4
413000.0,5633000.0,5306.6
414000.0,5633000.0,5680.2
415000.0,5633000.0,5763.7
416000.0,5633000.0,6372.6
417000.0,5633000.0,5846.5
418000.0,5633000.0,5348.099999999999
419000.0,5633000.0,5581.4
420000.0,5633000.0,5696.5
421000.0,5633000.0,6925.599999999999
422000.0,5633000.0,6159.6
423000.0,5633000.0,7368.5
424000.0,5633000.0,7723.199999999999
425000.0,5633000.0,6945.4
426000.0,5633000.0,6151.4
427000.0,5633000.0,5154.0
409000.0,5632000.0,4874.700000000001
410000.0,5632000.0,5027.5
411000.0,5632000.0,5025.1
412000.0,5632000.0,5810.699999999999
413000.0,5632000.0,5613.099999999999
414000.0,5632000.0,5062.1
415000.0,5632000.0,5240.299999999999
416000.0,5632000.0,5767.0
417000.0,5632000.0,5658.9
418000.0,5632000.0,5579.0
419000.0,5632000.0,4852.5
420000.0,5632000.0,5283.0
421000.0,5632000.0,6433.099999999999
422000.0,5632000.0,5750.4
423000.0,5632000.0,6506.0
424000.0,5632000.0,7575.2
425000.0,5632000.0,6887.3
426000.0,5632000.0,5909.5
427000.0,5632000.0,5253.4
408000.0,5631000.0,4999.3
409000.0,5631000.0,4751.4
410000.0,5631000.0,4618.5
411000.0,5631000.0,5664.300000000001
412000.0,5631000.0,5324.300000000001
413000.0,5631000.0,4852.6
414000.0,5631000.0,5652.7
415000.0,5631000.0,5680.9
416000.0,5631000.0,5408.8
417000.0,5631000.0,5783.6
418000.0,5631000.0,5718.7
419000.0,5631000.0,5078.2
420000.0,5631000.0,5794.200000000001
421000.0,5631000.0,5048.8
422000.0,5631000.0,5042.200000000001
423000.0,5631000.0,6206.2
424000.0,5631000.0,5136.900000000001
425000.0,5631000.0,5952.1
426000.0,5631000.0,4829.0
427000.0,5631000.0,6140.799999999999
407000.0,5630000.0,5466.5
408000.0,5630000.0,4672.4
409000.0,5630000.0,4948.400000000001
410000.0,5630000.0,4514.5
411000.0,5630000.0,5486.700000000001
412000.0,5630000.0,5454.8
413000.0,5630000.0,5215.2
414000.0,5630000.0,4703.2
415000.0,5630000.0,5093.0
416000.0,5630000.0,5135.900000000001
417000.0,5630000.0,5380.0
418000.0,5630000.0,5651.700000000001
419000.0,5630000.0,4910.2
420000.0,5630000.0,5473.9
421000.0,5630000.0,4856.599999999999
422000.0,5630000.0,4588.2
423000.0,5630000.0,4986.7
424000.0,5630000.0,4878.8
425000.0,5630000.0,4728.9
426000.0,5630000.0,5215.0
427000.0,5630000.0,6106.0
407000.0,5629000.0,5636.800000000001
408000.0,5629000.0,5044.700000000001
409000.0,5629000.0,5299.9
410000.0,5629000.0,4282.4
411000.0,5629000.0,5357.1
412000.0,5629000.0,5053.1
413000.0,5629000.0,5311.3
414000.0,5629000.0,5747.6
415000.0,5629000.0,4929.099999999999
416000.0,5629000.0,4973.8
417000.0,5629000.0,5746.0
418000.0,5629000.0,5660.2
419000.0,5629000.0,5454.8
420000.0,5629000.0,5293.8
421000.0,5629000.0,4622.7
422000.0,5629000.0,5572.9
423000.0,5629000.0,5752.7
424000.0,5629000.0,6957.6
425000.0,5629000.0,6185.2
426000.0,5629000.0,6161.0
427000.0,5629000.0,6646.0
408000.0,5628000.0,5112.1
409000.0,5628000.0,5077.6
410000.0,5628000.0,4188.6
411000.0,5628000.0,4622.7
412000.0,5628000.0,4955.0
413000.0,5628000.0,5229.0
414000.0,5628000.0,4734.8
415000.0,5628000.0,4447.7
416000.0,5628000.0,4296.1
417000.0,5628000.0,4713.400000000001
418000.0,5628000.0,4934.0
419000.0,5628000.0,4463.3
420000.0,5628000.0,5277.6
421000.0,5628000.0,4555.7
422000.0,5628000.0,5659.700000000001
423000.0,5628000.0,6416.900000000001
424000.0,5628000.0,6450.9
425000.0,5628000.0,7748.7
426000.0,5628000.0,6805.2
427000.0,5628000.0,6351.700000000001
407000.0,5627000.0,5045.2
408000.0,5627000.0,5296.0
409000.0,5627000.0,4882.200000000001
410000.0,5627000.0,4718.5
411000.0,5627000.0,4893.1
412000.0,5627000.0,4153.2
413000.0,5627000.0,4217.4
414000.0,5627000.0,4237.799999999999
415000.0,5627000.0,4258.3
416000.0,5627000.0,5473.6
417000.0,5627000.0,5396.4
418000.0,5627000.0,4498.7
419000.0,5627000.0,5056.2
420000.0,5627000.0,4706.7
421000.0,5627000.0,5495.1
422000.0,5627000.0,5374.300000000001
423000.0,5627000.0,6338.0
424000.0,5627000.0,6605.4
425000.0,5627000.0,6356.3
426000.0,5627000.0,6528.8
427000.0,5627000.0,5931.3
406000.0,5626000.0,4256.2
407000.0,5626000.0,4044.7000000000003
408000.0,5626000.0,4547.7
409000.0,5626000.0,4599.4
410000.0,5626000.0,4574.5
411000.0,5626000.0,4519.6
412000.0,5626000.0,4262.4
413000.0,5626000.0,4806.0
414000.0,5626000.0,4845.5
415000.0,5626000.0,4785.299999999999
416000.0,5626000.0,5717.3
417000.0,5626000.0,5542.9
418000.0,5626000.0,5465.1
419000.0,5626000.0,5405.5
420000.0,5626000.0,5414.700000000001
421000.0,5626000.0,4745.5
422000.0,5626000.0,4742.1
423000.0,5626000.0,4992.1
424000.0,5626000.0,6253.0
425000.0,5626000.0,5207.6
426000.0,5626000.0,5372.4
427000.0,5626000.0,5154.0
403000.0,5625000.0,4586.7
404000.0,5625000.0,4248.2
406000.0,5625000.0,4691.5
407000.0,5625000.0,5088.1
408000.0,5625000.0,5146.800000000001
409000.0,5625000.0,4776.599999999999
410000.0,5625000.0,4267.5
411000.0,5625000.0,5285.9
412000.0,5625000.0,4642.6
413000.0,5625000.0,5004.700000000001
414000.0,5625000.0,5512.6
415000.0,5625000.0,5563.6
416000.0,5625000.0,5448.8
417000.0,5625000.0,6232.3
418000.0,5625000.0,5566.3
419000.0,5625000.0,6459.400000000001
420000.0,5625000.0,6026.3
421000.0,5625000.0,5134.5
422000.0,5625000.0,5668.9
423000.0,5625000.0,4991.4
424000.0,5625000.0,4764.700000000001
425000.0,5625000.0,5170.900000000001
426000.0,5625000.0,5524.1
427000.0,5625000.0,6327.4
401000.0,5624000.0,4492.799999999999
402000.0,5624000.0,5147.5
403000.0,5624000.0,4805.6
404000.0,5624000.0,5026.0
405000.0,5624000.0,4531.7
406000.0,5624000.0,4482.3
407000.0,5624000.0,4809.0
408000.0,5624000.0,5251.800000000001
409000.0,5624000.0,5611.900000000001
410000.0,5624000.0,4335.0
411000.0,5624000.0,5115.1
412000.0,5624000.0,5508.7
413000.0,5624000.0,4596.3
414000.0,5624000.0,4626.8
415000.0,5624000.0,5127.9
416000.0,5624000.0,5517.5
417000.0,5624000.0,6391.700000000001
418000.0,5624000.0,5548.6
419000.0,5624000.0,6510.699999999999
420000.0,5624000.0,6013.5
421000.0,5624000.0,5566.800000000001
422000.0,5624000.0,5721.700000000001
423000.0,5624000.0,6600.4
424000.0,5624000.0,5962.7
425000.0,5624000.0,6710.799999999999
426000.0,5624000.0,6673.5
427000.0,5624000.0,6218.0
428000.0,5624000.0,7190.1
401000.0,5623000.0,4767.1
402000.0,5623000.0,5492.799999999999
403000.0,5623000.0,4982.799999999999
404000.0,5623000.0,4969.6
405000.0,5623000.0,4786.3
406000.0,5623000.0,4739.4
407000.0,5623000.0,4916.9
408000.0,5623000.0,5118.1
409000.0,5623000.0,5419.5
410000.0,5623000.0,4183.0
411000.0,5623000.0,5081.8
412000.0,5623000.0,5486.0
413000.0,5623000.0,5517.799999999999
414000.0,5623000.0,5796.6
415000.0,5623000.0,5986.700000000001
416000.0,5623000.0,6108.099999999999
417000.0,5623000.0,6133.4
418000.0,5623000.0,6036.700000000001
419000.0,5623000.0,7097.0
420000.0,5623000.0,6791.900000000001
421000.0,5623000.0,6892.9
422000.0,5623000.0,6406.2
423000.0,5623000.0,5217.4
424000.0,5623000.0,5675.4
425000.0,5623000.0,5486.3
426000.0,5623000.0,6479.9
427000.0,5623000.0,6871.1
428000.0,5623000.0,7107.4
429000.0,5623000.0,7411.0
397000.0,5622000.0,5865.1
398000.0,5622000.0,6134.9
399000.0,5622000.0,5762.799999999999
401000.0,5622000.0,5018.2
402000.0,5622000.0,5044.4
403000.0,5622000.0,5429.300000000001
404000.0,5622000.0,5720.4
405000.0,5622000.0,5582.799999999999
406000.0,5622000.0,5053.400000000001
407000.0,5622000.0,5342.4
408000.0,5622000.0,5529.1
409000.0,5622000.0,5331.900000000001
410000.0,5622000.0,5049.3
411000.0,5622000.0,4877.6
412000.0,5622000.0,5069.9
413000.0,5622000.0,5073.1
414000.0,5622000.0,5806.3
415000.0,5622000.0,6585.599999999999
416000.0,5622000.0,6697.9
417000.0,5622000.0,6030.1
418000.0,5622000.0,6393.9
419000.0,5622000.0,6119.6
420000.0,5622000.0,6468.7
421000.0,5622000.0,7471.800000000001
422000.0,5622000.0,6901.4
423000.0,5622000.0,6618.7
424000.0,5622000.0,5743.9
425000.0,5622000.0,6115.599999999999
426000.0,5622000.0,5980.799999999999
427000.0,5622000.0,6577.799999999999
428000.0,5622000.0,6873.099999999999
429000.0,5622000.0,7444.5
430000.0,5622000.0,7529.9
396000.0,5621000.0,5801.900000000001
397000.0,5621000.0,5901.800000000001
398000.0,5621000.0,5649.5
399000.0,5621000.0,5113.0
400000.0,5621000.0,4845.1
401000.0,5621000.0,5527.3
402000.0,5621000.0,6094.300000000001
403000.0,5621000.0,6406.800000000001
404000.0,5621000.0,5890.0
405000.0,5621000.0,5353.199999999999
406000.0,5621000.0,5783.299999999999
407000.0,5621000.0,5851.4
408000.0,5621000.0,5479.6
409000.0,5621000.0,5494.200000000001
410000.0,5621000.0,4528.0
411000.0,5621000.0,4396.0
412000.0,5621000.0,5381.4
413000.0,5621000.0,5885.0
414000.0,5621000.0,5616.900000000001
415000.0,5621000.0,6430.4
416000.0,5621000.0,6936.900000000001
417000.0,5621000.0,6069.6
418000.0,5621000.0,6746.1
419000.0,5621000.0,6126.6
420000.0,5621000.0,6420.0
421000.0,5621000.0,7128.099999999999
422000.0,5621000.0,7717.5
423000.0,5621000.0,7488.4
424000.0,5621000.0,6550.799999999999
425000.0,5621000.0,5913.0
426000.0,5621000.0,6873.4
427000.0,5621000.0,5676.900000000001
428000.0,5621000.0,5848.4
429000.0,5621000.0,6563.0
430000.0,5621000.0,7343.7
431000.0,5621000.0,8283.5
394000.0,5620000.0,6189.8
395000.0,5620000.0,5875.299999999999
396000.0,5620000.0,5603.7
397000.0,5620000.0,5538.8
398000.0,5620000.0,5878.199999999999
399000.0,5620000.0,5334.5
400000.0,5620000.0,4994.6
401000.0,5620000.0,5326.1
402000.0,5620000.0,5635.5
403000.0,5620000.0,5845.0
404000.0,5620000.0,5823.299999999999
405000.0,5620000.0,5513.0
406000.0,5620000.0,5727.5
407000.0,5620000.0,5497.9
408000.0,5620000.0,5796.4
409000.0,5620000.0,5692.6
410000.0,5620000.0,4456.9
411000.0,5620000.0,5016.7
412000.0,5620000.0,5895.2
413000.0,5620000.0,5541.6
414000.0,5620000.0,6232.6
415000.0,5620000.0,6653.0
416000.0,5620000.0,6793.4
417000.0,5620000.0,6685.2
418000.0,5620000.0,6833.099999999999
419000.0,5620000.0,6847.9
420000.0,5620000.0,6862.7
421000.0,5620000.0,7215.2
422000.0,5620000.0,7229.400000000001
423000.0,5620000.0,7338.299999999999
424000.0,5620000.0,7321.1
425000.0,5620000.0,6520.699999999999
426000.0,5620000.0,7424.300000000001
427000.0,5620000.0,6042.9
428000.0,5620000.0,7012.7
429000.0,5620000.0,6355.4
430000.0,5620000.0,6390.2
431000.0,5620000.0,7148.4
432000.0,5620000.0,8704.5
385000.0,5619000.0,5202.799999999999
386000.0,5619000.0,5140.599999999999
387000.0,5619000.0,5358.4
388000.0,5619000.0,5208.6
391000.0,5619000.0,5721.2
392000.0,5619000.0,5646.700000000001
393000.0,5619000.0,6482.0
394000.0,5619000.0,5810.4
395000.0,5619000.0,5783.5
396000.0,5619000.0,5246.700000000001
397000.0,5619000.0,5342.7
398000.0,5619000.0,5648.8
399000.0,5619000.0,5634.200000000001
400000.0,5619000.0,5315.5
401000.0,5619000.0,5450.799999999999
402000.0,5619000.0,5619.200000000001
403000.0,5619000.0,5496.1
404000.0,5619000.0,5290.1
405000.0,5619000.0,5336.6
406000.0,5619000.0,5110.6
407000.0,5619000.0,5400.2
408000.0,5619000.0,5550.699999999999
409000.0,5619000.0,5165.2
410000.0,5619000.0,4839.6
411000.0,5619000.0,4928.0
412000.0,5619000.0,4600.1
413000.0,5619000.0,5582.799999999999
414000.0,5619000.0,5421.4
415000.0,5619000.0,6153.5
416000.0,5619000.0,6385.4
417000.0,5619000.0,6835.599999999999
418000.0,5619000.0,7074.5
419000.0,5619000.0,7042.200000000001
420000.0,5619000.0,7253.7
421000.0,5619000.0,7361.6
422000.0,5619000.0,7358.299999999999
423000.0,5619000.0,7409.9
424000.0,5619000.0,7369.5
425000.0,5619000.0,7408.7
426000.0,5619000.0,7479.8
427000.0,5619000.0,6853.0
428000.0,5619000.0,7210.599999999999
429000.0,5619000.0,6665.9
430000.0,5619000.0,7671.4
431000.0,5619000.0,7770.4
432000.0,5619000.0,8444.7
385000.0,5618000.0,4770.0
386000.0,5618000.0,5059.6
387000.0,5618000.0,4824.700000000001
388000.0,5618000.0,4909.3
389000.0,5618000.0,5446.800000000001
390000.0,5618000.0,5655.4
391000.0,5618000.0,5665.1
392000.0,5618000.0,5736.6
393000.0,5618000.0,5931.900000000001
394000.0,5618000.0,5684.6
395000.0,5618000.0,5315.299999999999
396000.0,5618000.0,5295.4
397000.0,5618000.0,5598.0
398000.0,5618000.0,5207.200000000001
399000.0,5618000.0,5161.1
400000.0,5618000.0,5308.7
401000.0,5618000.0,5693.5
402000.0,5618000.0,5343.9
403000.0,5618000.0,5160.0
404000.0,5618000.0,5301.900000000001
405000.0,5618000.0,5005.7
406000.0,5618000.0,5305.1
407000.0,5618000.0,5539.1
408000.0,5618000.0,5455.599999999999
409000.0,5618000.0,5624.200000000001
410000.0,5618000.0,5993.099999999999
411000.0,5618000.0,5319.1
412000.0,5618000.0,4693.8
413000.0,5618000.0,4759.6
414000.0,5618000.0,5738.7
415000.0,5618000.0,5943.0
416000.0,5618000.0,5559.200000000001
417000.0,5618000.0,6237.4
