x,y,z
538000.0,6082000.0,2653.3999999999996
539000.0,6082000.0,2653.6000000000004
537000.0,6081000.0,2653.8999999999996
535000.0,6080000.0,2653.6000000000004
536000.0,6080000.0,2653.2
537000.0,6080000.0,2653.2999999999997
539000.0,6080000.0,2652.7999999999997
534000.0,6079000.0,2653.5
535000.0,6079000.0,2653.8
536000.0,6079000.0,2653.5
533000.0,6078000.0,2652.9
534000.0,6078000.0,2653.6000000000004
538000.0,6078000.0,2653.2999999999997
539000.0,6078000.0,2653.1
540000.0,6078000.0,2653.5
532000.0,6077000.0,2652.9
533000.0,6077000.0,2653.6000000000004
539000.0,6077000.0,2652.1
540000.0,6077000.0,2652.7999999999997
541000.0,6077000.0,2651.2
542000.0,6077000.0,2653.6000000000004
527000.0,6076000.0,2652.9
529000.0,6076000.0,2653.6000000000004
530000.0,6076000.0,2652.7
531000.0,6076000.0,2653.1
532000.0,6076000.0,2652.7999999999997
541000.0,6076000.0,2651.2
542000.0,6076000.0,2651.2
543000.0,6076000.0,2650.6
544000.0,6076000.0,2653.8
545000.0,6076000.0,2652.2000000000003
528000.0,6075000.0,2654.1000000000004
529000.0,6075000.0,2653.6000000000004
544000.0,6075000.0,2651.9
545000.0,6075000.0,2651.5
546000.0,6075000.0,2650.6
528000.0,6074000.0,2653.5
529000.0,6074000.0,2652.4
546000.0,6074000.0,2651.5
547000.0,6074000.0,2651.0
548000.0,6074000.0,2651.7000000000003
549000.0,6074000.0,2651.8
528000.0,6073000.0,2654.9
549000.0,6073000.0,2651.0
550000.0,6073000.0,2653.1
528000.0,6072000.0,2654.2000000000003
563000.0,6061000.0,2650.7999999999997
565000.0,6060000.0,2650.5
566000.0,6060000.0,2648.5
561000.0,6059000.0,2648.2999999999997
563000.0,6059000.0,2650.7999999999997
564000.0,6059000.0,2652.4
565000.0,6059000.0,2650.2999999999997
566000.0,6059000.0,2650.6
565000.0,6058000.0,2650.0
566000.0,6058000.0,2650.7
558000.0,6053000.0,2651.2
559000.0,6053000.0,2652.5
557000.0,6052000.0,2652.9
558000.0,6052000.0,2651.1000000000004
556000.0,6051000.0,2652.7999999999997
557000.0,6051000.0,2652.3
555000.0,6050000.0,2651.9
552000.0,6049000.0,2652.3
554000.0,6049000.0,2653.2
550000.0,6048000.0,2652.1
552000.0,6048000.0,2653.1
550000.0,6047000.0,2652.9
551000.0,6047000.0,2652.9
549000.0,6046000.0,2652.4
550000.0,6046000.0,2652.5
549000.0,6045000.0,2653.8
548000.0,6044000.0,2663.3999999999996
548000.0,6043000.0,2652.7999999999997
540000.0,6042000.0,2653.8999999999996
543000.0,6042000.0,2652.7999999999997
544000.0,6042000.0,2653.5
545000.0,6042000.0,2652.5
547000.0,6042000.0,2651.6000000000004
539000.0,6041000.0,2653.2999999999997
540000.0,6041000.0,2653.5
542000.0,6041000.0,2654.4
543000.0,6041000.0,2652.6
544000.0,6041000.0,2652.9
545000.0,6041000.0,2652.7
536000.0,6040000.0,2654.0
537000.0,6040000.0,2652.4
538000.0,6040000.0,2653.3999999999996
544000.0,6040000.0,2653.1
545000.0,6040000.0,2652.9
