x,y,z
802000.0,5844000.0,3239.0
803000.0,5844000.0,3241.9
790000.0,5843000.0,3166.8
791000.0,5843000.0,3114.2000000000003
803000.0,5843000.0,3215.2
804000.0,5843000.0,3251.2
790000.0,5842000.0,3171.2
791000.0,5842000.0,3136.5999999999995
801000.0,5842000.0,3211.7000000000003
802000.0,5842000.0,3189.8
803000.0,5842000.0,3226.1000000000004
804000.0,5842000.0,3226.7000000000003
805000.0,5842000.0,3241.3999999999996
790000.0,5841000.0,3133.1
791000.0,5841000.0,3149.3
797000.0,5841000.0,3046.3
798000.0,5841000.0,3768.2
799000.0,5841000.0,3171.8
800000.0,5841000.0,3213.0
801000.0,5841000.0,3174.4
802000.0,5841000.0,3162.5
803000.0,5841000.0,3191.5
804000.0,5841000.0,3188.2
805000.0,5841000.0,3315.7999999999997
789000.0,5840000.0,3200.0
790000.0,5840000.0,3181.3
791000.0,5840000.0,3178.8
797000.0,5840000.0,3192.6
798000.0,5840000.0,3186.3999999999996
799000.0,5840000.0,3203.1
800000.0,5840000.0,3192.4
801000.0,5840000.0,3157.9
802000.0,5840000.0,3143.0
803000.0,5840000.0,3156.5999999999995
804000.0,5840000.0,3199.7000000000003
786000.0,5839000.0,2987.0
787000.0,5839000.0,3008.8999999999996
788000.0,5839000.0,3071.3999999999996
789000.0,5839000.0,3037.6
790000.0,5839000.0,3100.6
791000.0,5839000.0,3084.0
792000.0,5839000.0,3042.2000000000003
793000.0,5839000.0,2986.2
794000.0,5839000.0,2987.1
795000.0,5839000.0,3087.7
796000.0,5839000.0,3208.8999999999996
797000.0,5839000.0,3186.1000000000004
798000.0,5839000.0,3167.6
799000.0,5839000.0,3177.7999999999997
800000.0,5839000.0,3150.1
801000.0,5839000.0,3165.7
802000.0,5839000.0,3130.2999999999997
803000.0,5839000.0,3167.6
804000.0,5839000.0,3240.7999999999997
786000.0,5838000.0,2984.0
787000.0,5838000.0,2999.6
788000.0,5838000.0,3040.2
789000.0,5838000.0,3146.0
790000.0,5838000.0,3057.7
791000.0,5838000.0,3029.2000000000003
792000.0,5838000.0,3025.4
793000.0,5838000.0,3002.3
794000.0,5838000.0,3179.2000000000003
795000.0,5838000.0,3211.3
796000.0,5838000.0,3185.9000000000005
797000.0,5838000.0,3103.2999999999997
798000.0,5838000.0,3158.5
799000.0,5838000.0,3184.6
800000.0,5838000.0,3144.2000000000003
801000.0,5838000.0,3146.3
802000.0,5838000.0,3171.1000000000004
803000.0,5838000.0,3182.6
804000.0,5838000.0,3211.0
785000.0,5837000.0,2975.7999999999997
786000.0,5837000.0,2978.8
787000.0,5837000.0,3011.1000000000004
788000.0,5837000.0,3063.4000000000005
789000.0,5837000.0,3019.0999999999995
790000.0,5837000.0,3030.6
791000.0,5837000.0,3014.8
792000.0,5837000.0,3093.2
793000.0,5837000.0,3139.5
794000.0,5837000.0,3109.7000000000003
795000.0,5837000.0,3104.4
796000.0,5837000.0,3143.6000000000004
797000.0,5837000.0,3129.3
798000.0,5837000.0,3164.2000000000003
799000.0,5837000.0,3112.1
800000.0,5837000.0,3136.0
801000.0,5837000.0,3112.9
802000.0,5837000.0,3188.0
803000.0,5837000.0,3153.2
804000.0,5837000.0,3225.2999999999997
805000.0,5837000.0,3228.1
785000.0,5836000.0,2963.8
786000.0,5836000.0,3030.9000000000005
787000.0,5836000.0,3045.2999999999997
788000.0,5836000.0,3083.1
789000.0,5836000.0,3068.1
790000.0,5836000.0,3019.6
791000.0,5836000.0,3016.9
792000.0,5836000.0,3110.2
793000.0,5836000.0,3059.0
794000.0,5836000.0,3104.0999999999995
795000.0,5836000.0,3120.0
796000.0,5836000.0,3061.5
797000.0,5836000.0,3091.5
798000.0,5836000.0,3136.5999999999995
799000.0,5836000.0,3113.0
800000.0,5836000.0,3112.9
801000.0,5836000.0,3114.0999999999995
802000.0,5836000.0,3129.4
803000.0,5836000.0,3151.8
804000.0,5836000.0,3180.5
805000.0,5836000.0,3194.0999999999995
806000.0,5836000.0,3262.0
807000.0,5836000.0,3303.8
808000.0,5836000.0,3214.8
782000.0,5835000.0,2971.3
783000.0,5835000.0,2960.6
786000.0,5835000.0,3026.3
787000.0,5835000.0,3003.2
788000.0,5835000.0,3004.7000000000003
789000.0,5835000.0,2965.5
790000.0,5835000.0,3007.3
791000.0,5835000.0,3008.1
792000.0,5835000.0,3017.9
793000.0,5835000.0,3035.2
794000.0,5835000.0,3094.2000000000003
795000.0,5835000.0,3100.0
796000.0,5835000.0,3078.0
797000.0,5835000.0,3082.6
798000.0,5835000.0,3102.3
799000.0,5835000.0,3091.3999999999996
800000.0,5835000.0,3106.5999999999995
801000.0,5835000.0,3103.1
802000.0,5835000.0,3173.2
803000.0,5835000.0,3140.2
804000.0,5835000.0,3141.5
805000.0,5835000.0,3207.3
806000.0,5835000.0,3193.1
807000.0,5835000.0,3238.5
808000.0,5835000.0,3273.7
809000.0,5835000.0,3207.9
780000.0,5834000.0,2965.2
781000.0,5834000.0,2968.8999999999996
782000.0,5834000.0,2968.2999999999997
783000.0,5834000.0,3002.5
784000.0,5834000.0,2990.9000000000005
785000.0,5834000.0,2987.7
786000.0,5834000.0,2991.5999999999995
787000.0,5834000.0,2985.7999999999997
788000.0,5834000.0,2965.6
789000.0,5834000.0,2965.5
790000.0,5834000.0,3002.7999999999997
791000.0,5834000.0,3004.9
792000.0,5834000.0,3048.2999999999997
793000.0,5834000.0,3030.5
794000.0,5834000.0,3051.5999999999995
795000.0,5834000.0,3076.7000000000003
796000.0,5834000.0,3087.7
797000.0,5834000.0,3086.3
798000.0,5834000.0,3075.1
799000.0,5834000.0,3074.4
800000.0,5834000.0,3120.1
801000.0,5834000.0,3148.8999999999996
802000.0,5834000.0,3177.2000000000003
803000.0,5834000.0,3177.7999999999997
804000.0,5834000.0,3171.8
805000.0,5834000.0,3187.6
806000.0,5834000.0,3237.0
807000.0,5834000.0,3251.2
808000.0,5834000.0,3215.2
809000.0,5834000.0,3257.5
810000.0,5834000.0,3243.8999999999996
782000.0,5833000.0,2976.3999999999996
783000.0,5833000.0,2972.7
784000.0,5833000.0,2975.9000000000005
785000.0,5833000.0,2988.0
786000.0,5833000.0,2976.3999999999996
787000.0,5833000.0,2987.6
788000.0,5833000.0,2965.4
789000.0,5833000.0,2992.7
