x,y,z
519000.0,5968000.0,2641.3
519000.0,5967000.0,2664.0
520000.0,5967000.0,2663.8999999999996
520000.0,5966000.0,2664.0
521000.0,5966000.0,2641.1000000000004
521000.0,5965000.0,2664.0
522000.0,5965000.0,2641.3
522000.0,5964000.0,2664.0
523000.0,5964000.0,2656.2
522000.0,5963000.0,2664.0
523000.0,5963000.0,2657.7
523000.0,5962000.0,2664.0
524000.0,5962000.0,2663.8999999999996
524000.0,5961000.0,2658.0
524000.0,5960000.0,2663.8999999999996
525000.0,5960000.0,2647.7999999999997
525000.0,5959000.0,2650.2999999999997
414000.0,5958000.0,2633.8
525000.0,5958000.0,2663.8999999999996
526000.0,5958000.0,2663.8999999999996
526000.0,5957000.0,2663.8999999999996
526000.0,5956000.0,2663.8999999999996
527000.0,5956000.0,2648.3999999999996
527000.0,5955000.0,2651.5
401000.0,5954000.0,2647.6
527000.0,5954000.0,2664.0
528000.0,5954000.0,2663.8999999999996
528000.0,5953000.0,2663.8999999999996
529000.0,5953000.0,2653.8999999999996
379000.0,5952000.0,2639.7000000000003
529000.0,5952000.0,2663.8999999999996
530000.0,5951000.0,2664.0
532000.0,5951000.0,2645.6
531000.0,5950000.0,2663.8999999999996
532000.0,5950000.0,2655.1
533000.0,5950000.0,2642.9
532000.0,5949000.0,2656.2
533000.0,5949000.0,2645.8999999999996
533000.0,5948000.0,2649.4
534000.0,5948000.0,2647.9
533000.0,5947000.0,2656.8
534000.0,5947000.0,2650.7999999999997
534000.0,5946000.0,2654.0
534000.0,5945000.0,2657.4
535000.0,5945000.0,2652.6
534000.0,5944000.0,2668.3999999999996
535000.0,5944000.0,2654.4
535000.0,5943000.0,2652.9
536000.0,5941000.0,2661.0
537000.0,5940000.0,2656.5
538000.0,5939000.0,2661.0
349000.0,5938000.0,2665.6
539000.0,5938000.0,2665.8999999999996
540000.0,5938000.0,2654.6
349000.0,5937000.0,2663.5
351000.0,5937000.0,2635.8999999999996
541000.0,5937000.0,2651.8
542000.0,5937000.0,2646.5
542000.0,5936000.0,2721.8
543000.0,5936000.0,2648.1
544000.0,5935000.0,2655.2999999999997
370000.0,5934000.0,2636.3
545000.0,5934000.0,2665.8999999999996
546000.0,5934000.0,2666.0
547000.0,5934000.0,2665.8999999999996
548000.0,5934000.0,2665.8999999999996
549000.0,5934000.0,2665.8999999999996
550000.0,5934000.0,2666.0
551000.0,5934000.0,2666.0
380000.0,5909000.0,2651.8
381000.0,5909000.0,2657.1
382000.0,5909000.0,2658.5
383000.0,5909000.0,2658.8
386000.0,5909000.0,2630.7999999999997
387000.0,5909000.0,2647.3
380000.0,5908000.0,2656.6000000000004
381000.0,5908000.0,2656.9
382000.0,5908000.0,2660.5
380000.0,5907000.0,2656.8
381000.0,5907000.0,2657.0
382000.0,5907000.0,2657.5
380000.0,5906000.0,2659.1000000000004
381000.0,5906000.0,2659.1000000000004
382000.0,5906000.0,2659.8
380000.0,5905000.0,2662.6
381000.0,5905000.0,2661.7000000000003
382000.0,5905000.0,2663.2999999999997
381000.0,5904000.0,2664.3
382000.0,5904000.0,2664.9
381000.0,5903000.0,2653.2
381000.0,5902000.0,2657.4
